,MRIPDFF,rf,env,log,den,phase,phase2,rf,env,log,den,phase,phase2,,,,,,,,,,,,,,,,,,,,,,,
108,19.93,2.642597415,3.049913148,6.933795797,6.310808696,3.477633067,4.969657228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,19.93,2.24385279,2.469850172,6.757104195,5.849934582,3.476637741,4.979336056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,42.880001,3.794109599,5.115047705,6.896671654,6.533854192,3.462845389,4.827406789,42.880001,3.426126016,4.711123663,6.901747945,6.439886369,3.469102091,,,,,,,,,,,,,,,,,,,,,,,
111,42.880001,3.894046698,5.629747369,6.918254472,6.642493827,3.467289238,4.972814145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,42.880001,3.948901817,5.386077377,6.778236629,6.535060902,3.47362319,4.911873744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,42.880001,3.878908007,5.880704441,6.948319609,6.567737304,3.467146008,5.131629925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,42.880001,2.760862962,3.708948723,6.94503325,6.209040437,3.472155408,4.950949678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,42.880001,2.802626755,3.561711087,6.919334304,6.290757157,3.468822279,4.987091263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,42.880001,2.903426271,3.695628941,6.9063857,6.300260764,3.471833128,4.949283353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,13.73,3.497316883,4.700685754,6.855185185,6.410263843,3.468244645,5.026458454,13.73,3.093137817,4.273806111,6.860581209,6.294396976,3.140902241,,,,,,,,,,,,,,,,,,,,,,,
118,13.73,3.474466127,4.912792904,6.87427623,6.422042374,3.468911739,4.993172704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,13.73,3.415285261,4.667990764,6.765686581,6.31379431,3.468541019,4.906412975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,13.73,3.451844534,4.656230187,6.768946599,6.329499435,3.467732413,4.862532364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,13.73,2.82995024,4.036689944,6.903018542,6.28159156,3.445863335,4.931689963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,13.73,2.765241068,3.928448822,6.837171603,6.091623796,3.457399806,4.898578124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,13.73,2.623925114,3.605633807,6.969858946,6.368538554,0.927286776,1.347440484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,13.73,2.687073307,3.681976708,6.910505985,6.137821939,3.423238198,4.962693323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,26.68,3.22354558,4.650492174,6.828664242,6.288636418,3.468853442,4.990327096,26.68,2.746680074,3.745589902,6.83034496,6.171524042,3.466769565,,,,,,,,,,,,,,,,,,,,,,,
126,26.68,3.16847722,4.519771356,6.824338208,6.26174851,3.468048148,4.854105421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,26.68,2.99947128,4.349283731,6.734407276,6.133393225,3.470742317,5.05218733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,26.68,2.516307861,3.134011834,6.851965998,6.090279497,3.460387598,4.927652417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,26.68,2.414651916,3.344016247,6.87994846,6.117650421,3.463372343,4.960551225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,26.68,2.157626588,2.475964073,6.862745574,6.137436183,3.46921354,4.892970709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2.45,3.027411219,4.14810478,6.6990041,6.282680109,3.464415362,4.987759804,2.45,2.827633248,3.733291183,6.77743713,6.202981127,3.414527486,,,,,,,,,,,,,,,,,,,,,,,
132,2.45,3.289831895,4.391949158,6.679962717,6.368656838,3.45660668,5.005222595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2.45,3.158359169,4.242577489,6.705083991,6.317147259,3.467088618,4.89032802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2.45,3.111877895,4.668313464,6.76271609,6.294216711,3.4621332,4.932464356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2.45,2.479272921,2.963066225,6.828386952,6.034556104,3.336447016,4.973960563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
